0,0,0.75,1,16,1,0
0,0,0.75,5,211,5,16
0,0,0.75,10,424,11,17
0,0,0.75,20,1137,17,279
0,0,0.75,50,1903,37,789
0,0,0.75,100,4563,82,2882
0,0,0.75,1,49,1,0
0,0,0.75,5,182,5,0
0,0,0.75,10,649,10,65
0,0,0.75,20,924,20,279
0,0,0.75,50,2061,38,1065
0,0,0.75,100,5033,62,3618
0,0,0.75,1,122,1,0
0,0,0.75,5,205,6,20
0,0,0.75,10,291,10,37
0,0,0.75,20,756,13,326
0,0,0.75,50,2147,36,1005
0,0,0.75,100,4906,64,3554
0,0,0.75,1,19,1,0
0,0,0.75,5,162,5,5
0,0,0.75,10,607,10,104
0,0,0.75,20,926,22,410
0,0,0.75,50,2044,38,917
0,0,0.75,100,5069,79,3451
0,0,1,1,11,1,0
0,0,1,5,199,5,0
0,0,1,10,691,9,239
0,0,1,20,637,18,198
0,0,1,50,2280,41,1243
0,0,1,100,5289,74,3742
0,0,1,1,13,1,0
0,0,1,5,122,6,18
0,0,1,10,235,10,5
0,0,1,20,1209,22,379
0,0,1,50,2022,38,1129
0,0,1,100,4360,63,3027
0,0,1,1,53,1,0
0,0,1,5,297,5,0
0,0,1,10,426,10,24
0,0,1,20,683,16,200
0,0,1,50,2386,44,918
0,0,1,100,4893,78,3353
0,0,1,1,56,1,0
0,0,1,5,256,7,63
0,0,1,10,625,10,32
0,0,1,20,866,17,211
0,0,1,50,1925,39,906
0,0,1,100,5441,72,4011
0,0,1,1,18,1,0
0,0,1,5,175,5,0
0,0,1,10,348,10,52
0,0,1,20,833,20,81
0,0,1,50,2439,42,1440
0,0,1,100,5094,65,3856
0,0.25,0,1,11,1,0
0,0.25,0,5,382,5,0
0,0.25,0,10,332,10,60
0,0.25,0,20,849,20,43
0,0.25,0,50,2051,35,1129
0,0.25,0,100,5384,63,3422
0,0.25,0,1,22,1,0
0,0.25,0,5,156,5,0
0,0.25,0,10,437,10,4
0,0.25,0,20,1600,19,395
0,0.25,0,50,2762,45,1334
0,0.25,0,100,4417,59,2926
0,0.25,0,1,17,1,0
0,0.25,0,5,109,3,42
0,0.25,0,10,466,9,81
0,0.25,0,20,1284,18,513
0,0.25,0,50,2524,40,1053
0,0.25,0,100,5650,55,3832
0,0.25,0,1,61,1,0
0,0.25,0,5,137,6,0
0,0.25,0,10,390,12,8
0,0.25,0,20,847,20,201
0,0.25,0,50,2661,44,1055
0,0.25,0,100,5140,59,3456
0,0.25,0,1,60,1,0
0,0.25,0,5,346,4,35
0,0.25,0,10,525,8,104
0,0.25,0,20,788,16,194
0,0.25,0,50,2163,31,1260
0,0.25,0,100,4978,58,3149
0,0.25,0.25,1,50,1,0
0,0.25,0.25,5,175,5,0
0,0.25,0.25,10,461,9,117
0,0.25,0.25,20,1282,19,324
0,0.25,0.25,50,2608,41,1120
0,0.25,0.25,100,5603,62,3578
0,0.25,0.25,1,61,1,0
0,0.25,0.25,5,236,5,0
0,0.25,0.25,10,345,10,0
0,0.25,0.25,20,1241,15,442
0,0.25,0.25,50,2522,31,1232
0,0.25,0.25,100,5065,54,3410
0,0.25,0.25,1,12,1,0
0,0.25,0.25,5,139,5,0
0,0.25,0.25,10,695,10,164
0,0.25,0.25,20,711,17,209
0,0.25,0.25,50,2520,36,1139
0,0.25,0.25,100,4743,60,3295
0,0.25,0.25,1,48,1,0
0,0.25,0.25,5,384,5,27
0,0.25,0.25,10,867,11,191
0,0.25,0.25,20,931,20,224
0,0.25,0.25,50,2294,30,1301
0,0.25,0.25,100,4853,59,2901
0,0.25,0.25,1,13,1,0
0,0.25,0.25,5,177,4,25
0,0.25,0.25,10,547,13,23
0,0.25,0.25,20,860,16,189
0,0.25,0.25,50,2151,31,1009
0,0.25,0.25,100,4396,61,2731
0,0.25,0.5,1,79,1,0
0,0.25,0.5,5,189,4,30
0,0.25,0.5,10,368,11,0
0,0.25,0.5,20,832,18,416
0,0.25,0.5,50,2566,40,1281
0,0.25,0.5,100,4714,67,3197
0,0.25,0.5,1,16,1,0
0,0.25,0.5,5,254,6,0
0,0.25,0.5,10,578,11,112
0,0.25,0.5,20,995,17,292
0,0.25,0.5,50,2203,33,1171
0,0.25,0.5,100,5324,65,3347
0,0.25,0.5,1,158,1,0
0,0.25,0.5,5,385,5,2
0,0.25,0.5,10,535,11,120
0,0.25,0.5,20,734,14,323
0,0.25,0.5,50,2108,36,1013
0,0.25,0.5,100,4368,57,2827
0,0.25,0.5,1,59,2,0
0,0.25,0.5,5,158,5,0
0,0.25,0.5,10,552,11,2
0,0.25,0.5,20,1040,20,235
0,0.25,0.5,50,2516,32,1494
0,0.25,0.5,100,4612,60,3237
0,0.25,0.5,1,31,1,0
0,0.25,0.5,5,408,6,0
0,0.25,0.5,10,642,10,5
0,0.25,0.5,20,1165,18,488
0,0.25,0.5,50,2262,35,1064
0,0.25,0.5,100,4691,73,2707
0,0.25,0.75,1,12,1,0
0,0.25,0.75,5,318,4,13
0,0.25,0.75,10,500,11,92
0,0.25,0.75,20,1011,16,461
0,0.25,0.75,50,2461,44,1192
0,0.25,0.75,100,4366,58,2722
0,0.25,0.75,1,17,1,0
0,0.25,0.75,5,269,4,39
0,0.25,0.75,10,585,7,173
0,0.25,0.75,20,1214,20,443
0,0.25,0.75,50,2018,43,896
0,0.25,0.75,100,4658,63,2983
0,0.25,0.75,1,55,1,0
0,0.25,0.75,5,205,5,0
0,0.25,0.75,10,728,10,129
0,0.25,0.75,20,646,19,91
0,0.25,0.75,50,2659,36,1504
0,0.25,0.75,100,4733,62,3140
0,0.25,0.75,1,48,1,0
0,0.25,0.75,5,117,4,13
0,0.25,0.75,10,564,10,90
0,0.25,0.75,20,1189,25,482
0,0.25,0.75,50,2592,40,1141
0,0.25,0.75,100,4439,59,3084
0,0.25,0.75,1,24,1,0
0,0.25,0.75,5,169,5,50
0,0.25,0.75,10,544,11,85
0,0.25,0.75,20,857,18,107
0,0.25,0.75,50,2135,37,821
0,0.25,0.75,100,5169,62,3667
0,0.25,1,1,55,1,0
0,0.25,1,5,199,4,54
0,0.25,1,10,208,11,44
0,0.25,1,20,1397,16,500
0,0.25,1,50,2283,39,988
0,0.25,1,100,4349,58,2907
0,0.25,1,1,105,1,0
0,0.25,1,5,234,5,45
0,0.25,1,10,429,10,53
0,0.25,1,20,1149,17,488
0,0.25,1,50,2112,42,991
0,0.25,1,100,4678,60,3231
0,0.25,1,1,33,1,0
0,0.25,1,5,183,5,0
0,0.25,1,10,578,11,6
0,0.25,1,20,958,18,282
0,0.25,1,50,2145,41,824
0,0.25,1,100,5216,69,3718
0,0.25,1,1,32,1,0
0,0.25,1,5,268,5,103
0,0.25,1,10,492,12,59
0,0.25,1,20,973,21,159
0,0.25,1,50,2059,41,740
0,0.25,1,100,4799,58,3341
0,0.25,1,1,60,1,0
0,0.25,1,5,308,5,0
0,0.25,1,10,525,11,86
0,0.25,1,20,1012,18,249
0,0.25,1,50,2500,38,1381
0,0.25,1,100,5730,70,3967
0,0.5,0,1,48,1,0
0,0.5,0,5,280,5,0
0,0.5,0,10,608,8,230
0,0.5,0,20,1290,18,224
0,0.5,0,50,2680,36,1426
0,0.5,0,100,4895,54,3431
0,0.5,0,1,68,1,0
0,0.5,0,5,169,5,0
0,0.5,0,10,612,9,119
0,0.5,0,20,981,18,156
0,0.5,0,50,2610,34,1628
0,0.5,0,100,4972,57,3337
0,0.5,0,1,16,1,0
0,0.5,0,5,266,6,0
0,0.5,0,10,303,11,10
0,0.5,0,20,744,19,136
0,0.5,0,50,2228,34,1153
0,0.5,0,100,4625,58,3334
0,0.5,0,1,74,1,0
0,0.5,0,5,213,4,64
0,0.5,0,10,610,9,96
0,0.5,0,20,1026,17,430
0,0.5,0,50,2260,33,1083
0,0.5,0,100,4937,60,3277
0,0.5,0,1,18,1,0
0,0.5,0,5,404,6,0
0,0.5,0,10,433,9,71
0,0.5,0,20,1335,19,127
0,0.5,0,50,2359,40,950
0,0.5,0,100,5201,60,3325
0,0.5,0.25,1,29,1,0
0,0.5,0.25,5,268,5,0
0,0.5,0.25,10,591,8,329
0,0.5,0.25,20,1009,17,159
0,0.5,0.25,50,2947,40,1467
0,0.5,0.25,100,4876,65,3165
0,0.5,0.25,1,58,1,0
0,0.5,0.25,5,210,4,41
0,0.5,0.25,10,406,10,0
0,0.5,0.25,20,858,15,354
0,0.5,0.25,50,2414,38,1008
0,0.5,0.25,100,4299,61,2710
0,0.5,0.25,1,75,2,0
0,0.5,0.25,5,215,6,0
0,0.5,0.25,10,441,10,3
0,0.5,0.25,20,997,17,242
0,0.5,0.25,50,2217,41,1097
0,0.5,0.25,100,5193,59,3225
0,0.5,0.25,1,36,1,0
0,0.5,0.25,5,126,4,36
0,0.5,0.25,10,720,10,30
0,0.5,0.25,20,866,16,344
0,0.5,0.25,50,2187,37,840
0,0.5,0.25,100,4652,55,3206
0,0.5,0.25,1,50,1,0
0,0.5,0.25,5,132,5,0
0,0.5,0.25,10,312,9,71
0,0.5,0.25,20,826,22,189
0,0.5,0.25,50,2741,38,1377
0,0.5,0.25,100,5114,75,3212
0,0.5,0.5,1,44,1,0
0,0.5,0.5,5,299,6,4
0,0.5,0.5,10,728,11,15
0,0.5,0.5,20,1010,16,321
0,0.5,0.5,50,2814,38,1449
0,0.5,0.5,100,4469,54,3094
0,0.5,0.5,1,15,1,0
0,0.5,0.5,5,167,5,1
0,0.5,0.5,10,728,11,24
0,0.5,0.5,20,1316,20,220
0,0.5,0.5,50,2587,36,1406
0,0.5,0.5,100,4266,55,2769
0,0.5,0.5,1,52,1,0
0,0.5,0.5,5,361,7,40
0,0.5,0.5,10,428,9,94
0,0.5,0.5,20,1043,17,258
0,0.5,0.5,50,1944,41,616
0,0.5,0.5,100,4440,57,2685
0,0.5,0.5,1,32,1,0
0,0.5,0.5,5,136,5,0
0,0.5,0.5,10,315,8,98
0,0.5,0.5,20,792,17,153
0,0.5,0.5,50,2252,35,1170
0,0.5,0.5,100,4365,59,2823
0,0.5,0.5,1,161,1,0
0,0.5,0.5,5,355,5,1
0,0.5,0.5,10,329,11,12
0,0.5,0.5,20,955,19,85
0,0.5,0.5,50,2263,34,1124
0,0.5,0.5,100,4875,64,3279
0,0.5,0.75,1,13,1,0
0,0.5,0.75,5,214,5,0
0,0.5,0.75,10,463,11,50
0,0.5,0.75,20,878,17,232
0,0.5,0.75,50,2650,38,1576
0,0.5,0.75,100,4851,68,3258
0,0.5,0.75,1,60,1,0
0,0.5,0.75,5,123,5,0
0,0.5,0.75,10,641,12,18
0,0.5,0.75,20,1030,20,250
0,0.5,0.75,50,2151,38,1117
0,0.5,0.75,100,4702,62,3248
0,0.5,0.75,1,17,1,0
0,0.5,0.75,5,225,5,106
0,0.5,0.75,10,496,9,86
0,0.5,0.75,20,828,19,196
0,0.5,0.75,50,2293,35,1273
0,0.5,0.75,100,4580,63,2896
0,0.5,0.75,1,36,1,0
0,0.5,0.75,5,239,4,90
0,0.5,0.75,10,883,9,72
0,0.5,0.75,20,764,21,204
0,0.5,0.75,50,2410,40,994
0,0.5,0.75,100,4750,57,3155
0,0.5,0.75,1,76,1,0
0,0.5,0.75,5,174,5,0
0,0.5,0.75,10,247,11,37
0,0.5,0.75,20,1125,20,239
0,0.5,0.75,50,2408,33,1430
0,0.5,0.75,100,4741,59,2992
0,0.5,1,1,30,1,0
0,0.5,1,5,192,5,23
0,0.5,1,10,591,12,21
0,0.5,1,20,1013,17,343
0,0.5,1,50,2199,32,1076
0,0.5,1,100,5209,60,3481
0,0.5,1,1,49,1,0
0,0.5,1,5,262,5,0
0,0.5,1,10,588,9,184
0,0.5,1,20,1114,27,205
0,0.5,1,50,2123,41,1225
0,0.5,1,100,4738,71,3131
0,0.5,1,1,11,1,0
0,0.5,1,5,170,4,33
0,0.5,1,10,551,10,53
0,0.5,1,20,673,19,103
0,0.5,1,50,2427,39,1286
0,0.5,1,100,4161,71,2312
0,0.5,1,1,24,1,0
0,0.5,1,5,148,5,0
0,0.5,1,10,444,9,39
0,0.5,1,20,889,14,329
0,0.5,1,50,1873,38,824
0,0.5,1,100,5231,71,3141
0,0.5,1,1,87,1,0
0,0.5,1,5,224,5,0
0,0.5,1,10,447,11,14
0,0.5,1,20,1075,17,245
0,0.5,1,50,2456,36,1350
0,0.5,1,100,4299,58,2904
0,0.75,0,1,13,1,0
0,0.75,0,5,205,5,1
0,0.75,0,10,401,8,143
0,0.75,0,20,920,18,161
0,0.75,0,50,2272,37,1030
0,0.75,0,100,4321,57,2739
0,0.75,0,1,12,1,0
0,0.75,0,5,145,4,20
0,0.75,0,10,648,8,118
0,0.75,0,20,720,18,82
0,0.75,0,50,2259,37,1069
0,0.75,0,100,4875,66,3116
0,0.75,0,1,56,1,0
0,0.75,0,5,130,5,0
0,0.75,0,10,536,9,50
0,0.75,0,20,764,18,209
0,0.75,0,50,2383,32,1295
0,0.75,0,100,4538,56,2887
0,0.75,0,1,82,1,0
0,0.75,0,5,476,6,8
0,0.75,0,10,221,9,83
0,0.75,0,20,1027,14,624
0,0.75,0,50,2305,32,1231
0,0.75,0,100,5101,58,3644
0,0.75,0,1,29,1,0
0,0.75,0,5,169,5,0
0,0.75,0,10,605,8,29
0,0.75,0,20,998,21,123
0,0.75,0,50,2474,33,1255
0,0.75,0,100,5336,52,3743
0,0.75,0.25,1,39,1,0
0,0.75,0.25,5,346,4,149
0,0.75,0.25,10,497,8,45
0,0.75,0.25,20,948,20,114
0,0.75,0.25,50,2422,38,1429
0,0.75,0.25,100,4960,53,3483
0,0.75,0.25,1,14,1,0
0,0.75,0.25,5,243,5,22
0,0.75,0.25,10,557,8,94
0,0.75,0.25,20,938,19,246
0,0.75,0.25,50,1970,31,900
0,0.75,0.25,100,4700,59,3078
0,0.75,0.25,1,44,1,0
0,0.75,0.25,5,396,6,0
0,0.75,0.25,10,292,9,33
0,0.75,0.25,20,939,21,197
0,0.75,0.25,50,2834,39,1399
0,0.75,0.25,100,4926,59,3315
0,0.75,0.25,1,27,1,0
0,0.75,0.25,5,188,5,0
0,0.75,0.25,10,365,9,32
0,0.75,0.25,20,911,17,209
0,0.75,0.25,50,1789,34,758
0,0.75,0.25,100,4502,64,2918
0,0.75,0.25,1,32,1,0
0,0.75,0.25,5,238,5,0
0,0.75,0.25,10,327,11,1
0,0.75,0.25,20,636,15,137
0,0.75,0.25,50,2137,36,1033
0,0.75,0.25,100,4722,59,2866
0,0.75,0.5,1,35,1,0
0,0.75,0.5,5,179,6,0
0,0.75,0.5,10,280,8,31
0,0.75,0.5,20,932,18,344
0,0.75,0.5,50,2226,30,1239
0,0.75,0.5,100,4972,57,3517
0,0.75,0.5,1,236,2,0
0,0.75,0.5,5,167,5,0
0,0.75,0.5,10,512,10,146
0,0.75,0.5,20,974,18,397
0,0.75,0.5,50,2538,39,1269
0,0.75,0.5,100,4627,55,3085
0,0.75,0.5,1,55,1,0
0,0.75,0.5,5,195,5,9
0,0.75,0.5,10,478,8,236
0,0.75,0.5,20,790,15,395
0,0.75,0.5,50,2242,34,1226
0,0.75,0.5,100,5777,55,4192
0,0.75,0.5,1,108,1,0
0,0.75,0.5,5,229,3,108
0,0.75,0.5,10,495,10,3
0,0.75,0.5,20,817,18,158
0,0.75,0.5,50,2587,37,1394
0,0.75,0.5,100,5240,58,3548
0,0.75,0.5,1,28,1,0
0,0.75,0.5,5,126,5,0
0,0.75,0.5,10,284,11,0
0,0.75,0.5,20,1309,19,562
0,0.75,0.5,50,2401,34,1143
0,0.75,0.5,100,4864,67,3135
0,0.75,0.75,1,76,2,0
0,0.75,0.75,5,193,5,30
0,0.75,0.75,10,410,13,0
0,0.75,0.75,20,1159,18,490
0,0.75,0.75,50,2760,42,1203
0,0.75,0.75,100,4999,60,3478
0,0.75,0.75,1,54,1,0
0,0.75,0.75,5,250,5,13
0,0.75,0.75,10,529,10,42
0,0.75,0.75,20,1004,19,403
0,0.75,0.75,50,2716,35,1552
0,0.75,0.75,100,4293,58,2595
0,0.75,0.75,1,20,1,0
0,0.75,0.75,5,210,6,0
0,0.75,0.75,10,339,10,4
0,0.75,0.75,20,1091,15,375
0,0.75,0.75,50,2655,40,1185
0,0.75,0.75,100,4742,61,2815
0,0.75,0.75,1,11,1,0
0,0.75,0.75,5,162,5,0
0,0.75,0.75,10,499,9,82
0,0.75,0.75,20,878,19,240
0,0.75,0.75,50,2341,38,1264
0,0.75,0.75,100,4788,64,2824
0,0.75,0.75,1,16,1,0
0,0.75,0.75,5,160,4,19
0,0.75,0.75,10,494,11,87
0,0.75,0.75,20,1024,16,387
0,0.75,0.75,50,2831,40,1448
0,0.75,0.75,100,4485,61,2872
0,0.75,1,1,29,1,0
0,0.75,1,5,439,5,55
0,0.75,1,10,532,9,110
0,0.75,1,20,1004,21,373
0,0.75,1,50,2099,34,1054
0,0.75,1,100,4720,57,3309
0,0.75,1,1,28,1,0
0,0.75,1,5,203,4,11
0,0.75,1,10,410,9,17
0,0.75,1,20,923,14,382
0,0.75,1,50,2297,33,1225
0,0.75,1,100,4951,59,3227
0,0.75,1,1,15,1,0
0,0.75,1,5,179,4,35
0,0.75,1,10,596,10,33
0,0.75,1,20,1005,18,287
0,0.75,1,50,2376,37,1343
0,0.75,1,100,4268,58,2754
0,0.75,1,1,12,1,0
0,0.75,1,5,395,4,26
0,0.75,1,10,443,9,17
0,0.75,1,20,829,20,121
0,0.75,1,50,1910,35,1029
0,0.75,1,100,4394,55,2648
0,0.75,1,1,48,1,0
0,0.75,1,5,137,5,0
0,0.75,1,10,494,9,20
0,0.75,1,20,667,17,145
0,0.75,1,50,2042,38,835
0,0.75,1,100,5116,58,3520
0,1,0,1,32,1,0
0,1,0,5,274,5,0
0,1,0,10,560,12,43
0,1,0,20,858,18,127
0,1,0,50,2428,38,1168
0,1,0,100,4534,56,3022
0,1,0,1,17,1,0
0,1,0,5,178,5,0
0,1,0,10,382,11,16
0,1,0,20,717,17,246
0,1,0,50,1937,37,893
0,1,0,100,3746,53,2517
0,1,0,1,87,1,0
0,1,0,5,122,6,0
0,1,0,10,516,21,2
0,1,0,20,797,20,168
0,1,0,50,2312,42,841
0,1,0,100,5142,51,3638
0,1,0,1,65,1,0
0,1,0,5,233,5,67
0,1,0,10,403,11,34
0,1,0,20,878,17,230
0,1,0,50,2305,37,1006
0,1,0,100,4471,56,3000
0,1,0,1,21,1,0
0,1,0,5,442,5,0
0,1,0,10,734,11,5
0,1,0,20,1046,19,186
0,1,0,50,2204,39,1215
0,1,0,100,5079,57,3498
0,1,0.25,1,11,1,0
0,1,0.25,5,286,4,20
0,1,0.25,10,414,11,123
0,1,0.25,20,774,19,129
0,1,0.25,50,2188,37,719
0,1,0.25,100,4680,58,3227
0,1,0.25,1,139,1,0
0,1,0.25,5,423,5,21
0,1,0.25,10,666,11,78
0,1,0.25,20,760,17,163
0,1,0.25,50,2727,39,1325
0,1,0.25,100,4658,54,3145
0,1,0.25,1,11,1,0
0,1,0.25,5,251,7,0
0,1,0.25,10,473,8,133
0,1,0.25,20,924,15,262
0,1,0.25,50,2273,43,868
0,1,0.25,100,3953,48,2847
0,1,0.25,1,33,1,0
0,1,0.25,5,118,6,0
0,1,0.25,10,379,10,87
0,1,0.25,20,1103,16,329
0,1,0.25,50,2340,45,1047
0,1,0.25,100,5257,61,3755
0,1,0.25,1,82,1,0
0,1,0.25,5,213,4,44
0,1,0.25,10,377,11,32
0,1,0.25,20,781,17,256
0,1,0.25,50,2261,38,912
0,1,0.25,100,4479,65,3175
0,1,0.5,1,38,1,0
0,1,0.5,5,189,5,5
0,1,0.5,10,437,8,69
0,1,0.5,20,1031,18,393
0,1,0.5,50,2098,40,995
0,1,0.5,100,5353,59,3676
0,1,0.5,1,50,1,0
0,1,0.5,5,315,5,148
0,1,0.5,10,443,11,0
0,1,0.5,20,878,17,251
0,1,0.5,50,2272,30,1094
0,1,0.5,100,4972,57,3377
0,1,0.5,1,52,1,0
0,1,0.5,5,196,5,15
0,1,0.5,10,442,10,42
0,1,0.5,20,844,22,268
0,1,0.5,50,2468,37,1456
0,1,0.5,100,4550,48,3251
0,1,0.5,1,90,1,0
0,1,0.5,5,234,5,0
0,1,0.5,10,415,12,78
0,1,0.5,20,1247,18,355
0,1,0.5,50,1852,40,675
0,1,0.5,100,5211,62,3622
0,1,0.5,1,12,1,0
0,1,0.5,5,216,4,28
0,1,0.5,10,657,11,189
0,1,0.5,20,873,20,218
0,1,0.5,50,2642,39,1260
0,1,0.5,100,4632,62,2845
0,1,0.75,1,26,1,0
0,1,0.75,5,237,5,8
0,1,0.75,10,488,9,117
0,1,0.75,20,887,16,384
0,1,0.75,50,2610,39,1191
0,1,0.75,100,4760,60,3235
0,1,0.75,1,56,1,0
0,1,0.75,5,173,4,66
0,1,0.75,10,715,9,238
0,1,0.75,20,1146,20,244
0,1,0.75,50,2153,33,1062
0,1,0.75,100,6007,65,4036
0,1,0.75,1,54,1,0
0,1,0.75,5,236,5,0
0,1,0.75,10,322,10,5
0,1,0.75,20,933,17,368
0,1,0.75,50,2318,38,1329
0,1,0.75,100,4942,79,2734
0,1,0.75,1,41,1,0
0,1,0.75,5,288,5,0
0,1,0.75,10,344,9,72
0,1,0.75,20,722,18,89
0,1,0.75,50,2440,38,1257
0,1,0.75,100,4425,52,2993
0,1,0.75,1,11,1,0
0,1,0.75,5,294,9,0
0,1,0.75,10,380,9,13
0,1,0.75,20,882,15,440
0,1,0.75,50,2560,31,1495
0,1,0.75,100,4752,67,2766
0,1,1,1,56,1,0
0,1,1,5,275,6,0
0,1,1,10,705,9,28
0,1,1,20,1040,29,203
0,1,1,50,2343,35,1310
0,1,1,100,4854,61,3068
0,1,1,1,69,1,0
0,1,1,5,357,5,5
0,1,1,10,305,10,0
0,1,1,20,752,19,231
0,1,1,50,2366,43,1212
0,1,1,100,5149,61,3504
0,1,1,1,215,1,0
0,1,1,5,452,5,0
0,1,1,10,351,9,58
0,1,1,20,885,17,242
0,1,1,50,2582,36,1253
0,1,1,100,4841,66,3092
0,1,1,1,25,1,0
0,1,1,5,140,5,1
0,1,1,10,367,8,99
0,1,1,20,831,16,200
0,1,1,50,2195,47,965
0,1,1,100,4471,66,2626
0,1,1,1,11,1,0
0,1,1,5,347,4,15
0,1,1,10,461,10,38
0,1,1,20,1122,17,373
0,1,1,50,1978,34,934
0,1,1,100,5168,65,3372
0.25,0,0,1,46,1,0
0.25,0,0,5,170,5,0
0.25,0,0,10,718,11,87
0.25,0,0,20,711,18,361
0.25,0,0,50,2793,41,1648
0.25,0,0,100,4821,63,3272
0.25,0,0,1,30,3,0
0.25,0,0,5,280,6,0
0.25,0,0,10,493,10,97
0.25,0,0,20,863,17,302
0.25,0,0,50,2091,35,1204
0.25,0,0,100,4877,66,3412
0.25,0,0,1,38,1,0
0.25,0,0,5,140,5,8
0.25,0,0,10,373,10,30
0.25,0,0,20,775,17,166
0.25,0,0,50,2224,41,979
0.25,0,0,100,4518,67,2748
0.25,0,0,1,13,1,0
0.25,0,0,5,353,5,0
0.25,0,0,10,308,10,0
0.25,0,0,20,1016,19,150
0.25,0,0,50,2670,51,1475
0.25,0,0,100,5197,66,3627
0.25,0,0,1,46,1,0
0.25,0,0,5,368,5,0
0.25,0,0,10,605,9,87
0.25,0,0,20,851,18,276
0.25,0,0,50,2377,41,1181
0.25,0,0,100,4629,71,3279
0.25,0,0.25,1,18,1,0
0.25,0,0.25,5,127,5,0
0.25,0,0.25,10,403,13,10
0.25,0,0.25,20,1017,19,361
0.25,0,0.25,50,2123,35,1048
0.25,0,0.25,100,5709,74,3685
0.25,0,0.25,1,12,1,0
0.25,0,0.25,5,145,5,0
0.25,0,0.25,10,600,8,137
0.25,0,0.25,20,1393,25,392
0.25,0,0.25,50,1997,35,1033
0.25,0,0.25,100,4936,79,3246
0.25,0,0.25,1,26,1,0
0.25,0,0.25,5,160,5,15
0.25,0,0.25,10,381,8,81
0.25,0,0.25,20,820,21,232
0.25,0,0.25,50,2807,47,1666
0.25,0,0.25,100,4817,61,3432
0.25,0,0.25,1,92,1,0
0.25,0,0.25,5,148,5,0
0.25,0,0.25,10,716,21,3
0.25,0,0.25,20,783,20,148
0.25,0,0.25,50,1986,36,1019
0.25,0,0.25,100,4307,63,2891
0.25,0,0.25,1,16,1,0
0.25,0,0.25,5,174,4,56
0.25,0,0.25,10,394,11,15
0.25,0,0.25,20,1080,18,184
0.25,0,0.25,50,2421,42,1340
0.25,0,0.25,100,5142,73,3600
0.25,0,0.5,1,11,1,0
0.25,0,0.5,5,223,6,43
0.25,0,0.5,10,494,9,85
0.25,0,0.5,20,667,15,184
0.25,0,0.5,50,2860,42,1434
0.25,0,0.5,100,5240,85,3271
